clip,frame,image_file,predicted_decision,predicted_detections,actual_objects,actual_decision
IMG_5077,0,IMG_5077_frame0.jpg,path clear,"chair:0.61:590,634,745,924;chair:0.47:536,621,627,847",chair,path clear
IMG_5077,15,IMG_5077_frame15.jpg,path clear,"chair:0.70:600,627,753,923;chair:0.56:553,617,641,837",,
IMG_5077,30,IMG_5077_frame30.jpg,path clear,"chair:0.68:608,630,770,914;chair:0.46:560,619,647,837",,
IMG_5077,45,IMG_5077_frame45.jpg,path clear,"chair:0.60:614,637,783,926",,
IMG_5077,60,IMG_5077_frame60.jpg,path clear,"chair:0.59:622,624,793,919;chair:0.51:573,610,666,843",,
IMG_5077,75,IMG_5077_frame75.jpg,path clear,"chair:0.50:626,631,805,930",,
IMG_5077,90,IMG_5077_frame90.jpg,path clear,"chair:0.67:639,627,826,929",,
IMG_5077,105,IMG_5077_frame105.jpg,path clear,"chair:0.65:664,629,847,926;chair:0.43:612,611,708,862",,
IMG_5077,120,IMG_5077_frame120.jpg,path clear,"chair:0.69:670,645,865,973;chair:0.58:620,639,717,877",,
IMG_5077,135,IMG_5077_frame135.jpg,path clear,"chair:0.74:668,651,884,964;chair:0.58:622,641,716,888",,
IMG_5077,150,IMG_5077_frame150.jpg,path clear,"chair:0.63:670,656,887,999;chair:0.57:614,645,711,896",,
IMG_5077,165,IMG_5077_frame165.jpg,path clear,"chair:0.73:663,669,886,1032;chair:0.49:604,650,714,914",chair,path clear
IMG_5077,180,IMG_5077_frame180.jpg,path clear,"chair:0.64:659,662,894,1024;chair:0.44:579,648,713,924",,
IMG_5077,195,IMG_5077_frame195.jpg,path clear,"chair:0.75:661,672,909,1018;chair:0.48:573,650,698,941",,
IMG_5077,210,IMG_5077_frame210.jpg,path clear,"chair:0.76:659,677,921,1073;chair:0.60:577,650,694,945",,
IMG_5077,225,IMG_5077_frame225.jpg,path clear,"chair:0.74:654,665,920,1091;chair:0.63:569,646,686,943",,
IMG_5077,240,IMG_5077_frame240.jpg,path clear,"chair:0.82:631,655,924,1067;chair:0.63:546,640,692,944",,
IMG_5077,255,IMG_5077_frame255.jpg,path clear,"chair:0.80:643,665,930,1077;chair:0.61:534,636,683,958",,
IMG_5077,270,IMG_5077_frame270.jpg,path clear,"chair:0.84:640,660,959,1135;chair:0.54:544,632,693,962",,
IMG_5077,285,IMG_5077_frame285.jpg,path clear,"chair:0.85:637,672,971,1171;chair:0.56:524,637,668,981",,
