clip,frame,image_file,predicted_decision,predicted_detections,actual_objects,actual_decision
IMG_5089,0,IMG_5089_frame0.jpg,"obstacle left, move right","chair:0.95:88,932,577,1705;microwave:0.70:972,689,1080,765;oven:0.50:765,758,950,1099;microwave:0.44:667,694,775,796",chair,path clear
IMG_5089,15,IMG_5089_frame15.jpg,"obstacle left, move right","chair:0.94:16,926,513,1699;microwave:0.87:882,679,1045,760;oven:0.57:669,754,874,1092",,
IMG_5089,30,IMG_5089_frame30.jpg,"obstacle left, move right","chair:0.95:0,915,425,1703;microwave:0.87:789,669,934,742",,
IMG_5089,45,IMG_5089_frame45.jpg,"obstacle left, move right","chair:0.90:0,899,312,1700;microwave:0.85:660,652,822,730",chair,path clear
IMG_5089,60,IMG_5089_frame60.jpg,path clear,"microwave:0.89:539,634,694,718;chair:0.72:2,892,160,1610;oven:0.46:345,697,539,1043",,
IMG_5089,75,IMG_5089_frame75.jpg,path clear,"microwave:0.86:434,614,585,696;chair:0.82:585,784,940,1455;chair:0.66:966,915,1080,1293;oven:0.47:135,621,431,1028",,
IMG_5089,90,IMG_5089_frame90.jpg,path clear,"microwave:0.91:365,595,516,681;chair:0.83:494,769,841,1445;chair:0.65:882,870,1080,1276",,
IMG_5089,105,IMG_5089_frame105.jpg,path clear,"microwave:0.96:357,573,502,657;chair:0.89:466,756,823,1436;chair:0.61:872,855,1080,1264",,
IMG_5089,120,IMG_5089_frame120.jpg,path clear,"microwave:0.83:382,555,541,640;chair:0.63:495,738,872,1444;chair:0.49:910,867,1080,1269;microwave:0.46:44,562,192,676",,
IMG_5089,135,IMG_5089_frame135.jpg,path clear,"microwave:0.87:447,550,604,635;chair:0.82:562,744,961,1485;microwave:0.59:107,555,247,672;chair:0.51:991,866,1080,1287;oven:0.48:183,612,435,992",,
IMG_5089,150,IMG_5089_frame150.jpg,path clear,"microwave:0.87:525,549,690,640;microwave:0.63:185,556,326,678;oven:0.48:291,620,518,1004;oven:0.44:216,573,516,998",,
IMG_5089,165,IMG_5089_frame165.jpg,path clear,"microwave:0.90:604,545,767,638;microwave:0.67:340,283,489,486;oven:0.64:306,574,586,1009",backpack;chair,stop
IMG_5089,180,IMG_5089_frame180.jpg,path clear,"microwave:0.89:660,553,837,650;oven:0.54:316,555,639,1030",,
IMG_5089,195,IMG_5089_frame195.jpg,path clear,"microwave:0.86:715,541,892,644;oven:0.56:390,560,690,1036",backpack,"obstacle left, move right"
IMG_5089,210,IMG_5089_frame210.jpg,path clear,"microwave:0.86:765,554,949,652;oven:0.69:416,559,737,1060;microwave:0.66:487,268,651,484",,
IMG_5089,225,IMG_5089_frame225.jpg,path clear,"microwave:0.85:794,510,972,608;oven:0.70:454,568,768,1041;microwave:0.69:507,213,679,439",,
IMG_5089,240,IMG_5089_frame240.jpg,path clear,"microwave:0.84:797,439,995,554;oven:0.43:438,472,777,999",,
IMG_5089,255,IMG_5089_frame255.jpg,path clear,"microwave:0.76:776,386,993,504;oven:0.76:397,404,752,976;refrigerator:0.53:40,702,328,1388;microwave:0.49:468,53,656,312",,
IMG_5089,270,IMG_5089_frame270.jpg,path clear,"oven:0.79:327,362,726,967;microwave:0.77:758,353,970,473;microwave:0.51:432,3,632,272;refrigerator:0.42:2,705,293,1430",oven;refrigerator,path clear
IMG_5089,285,IMG_5089_frame285.jpg,path clear,"microwave:0.82:729,321,953,455;oven:0.72:323,353,714,970;refrigerator:0.46:0,698,268,1506",,
IMG_5089,300,IMG_5089_frame300.jpg,path clear,"microwave:0.81:685,321,908,452;oven:0.79:228,332,676,991",,
IMG_5089,315,IMG_5089_frame315.jpg,"obstacle left, move right","microwave:0.77:641,316,856,443;oven:0.71:210,373,625,1014;refrigerator:0.52:1,747,156,1613",,
IMG_5089,330,IMG_5089_frame330.jpg,path clear,"microwave:0.87:565,337,800,475;oven:0.79:23,349,555,1069;sink:0.48:3,611,224,740",,
IMG_5089,345,IMG_5089_frame345.jpg,path clear,"microwave:0.74:498,343,755,491;oven:0.72:7,360,503,1130;sink:0.41:1,669,123,740",,
IMG_5089,360,IMG_5089_frame360.jpg,path clear,"microwave:0.83:433,350,682,500;oven:0.63:8,472,438,1188",,
IMG_5089,375,IMG_5089_frame375.jpg,path clear,"microwave:0.87:414,375,658,522;oven:0.64:38,556,416,1255",,
IMG_5089,390,IMG_5089_frame390.jpg,path clear,"microwave:0.85:355,356,640,526;oven:0.75:6,566,378,1309",,
IMG_5089,405,IMG_5089_frame405.jpg,path clear,"oven:0.78:0,596,343,1376;microwave:0.71:339,380,604,540",,
IMG_5089,420,IMG_5089_frame420.jpg,path clear,"oven:0.75:5,614,292,1464;microwave:0.75:276,384,571,554",,
IMG_5089,435,IMG_5089_frame435.jpg,"obstacle left, move right","oven:0.83:4,588,251,1504;microwave:0.72:249,339,541,512",,
IMG_5089,450,IMG_5089_frame450.jpg,"obstacle left, move right","microwave:0.82:200,347,506,526;oven:0.76:1,614,201,1607",,
IMG_5089,465,IMG_5089_frame465.jpg,path clear,"microwave:0.82:128,275,497,488",,
IMG_5089,480,IMG_5089_frame480.jpg,path clear,"microwave:0.87:124,282,476,494",,
IMG_5089,495,IMG_5089_frame495.jpg,path clear,"microwave:0.92:55,283,464,514",,
IMG_5089,510,IMG_5089_frame510.jpg,path clear,"microwave:0.76:47,263,448,504",,
IMG_5089,525,IMG_5089_frame525.jpg,path clear,"microwave:0.87:10,269,453,539",,
IMG_5089,540,IMG_5089_frame540.jpg,path clear,"microwave:0.92:4,267,456,553",,
IMG_5089,555,IMG_5089_frame555.jpg,path clear,"microwave:0.89:2,260,439,573",,
IMG_5089,570,IMG_5089_frame570.jpg,path clear,"microwave:0.91:3,270,383,604",,
IMG_5089,585,IMG_5089_frame585.jpg,"obstacle right, move left","refrigerator:0.48:800,58,1078,1500",refrigerator,"obstacle right, move left"
IMG_5089,600,IMG_5089_frame600.jpg,"obstacle right, move left","refrigerator:0.55:301,19,1073,1459",refrigerator,"obstacle left, move right"
IMG_5089,615,IMG_5089_frame615.jpg,path clear,,,
IMG_5089,630,IMG_5089_frame630.jpg,path clear,,,
IMG_5089,645,IMG_5089_frame645.jpg,path clear,,,
IMG_5089,660,IMG_5089_frame660.jpg,path clear,,,
IMG_5089,675,IMG_5089_frame675.jpg,path clear,,,path clear
IMG_5089,690,IMG_5089_frame690.jpg,path clear,,,
IMG_5089,705,IMG_5089_frame705.jpg,path clear,,,
IMG_5089,720,IMG_5089_frame720.jpg,path clear,,,
IMG_5089,735,IMG_5089_frame735.jpg,path clear,,,
IMG_5089,750,IMG_5089_frame750.jpg,path clear,,,
IMG_5089,765,IMG_5089_frame765.jpg,path clear,,,
IMG_5089,780,IMG_5089_frame780.jpg,path clear,,,
IMG_5089,795,IMG_5089_frame795.jpg,path clear,,,
IMG_5089,810,IMG_5089_frame810.jpg,path clear,,,
IMG_5089,825,IMG_5089_frame825.jpg,path clear,,,
IMG_5089,840,IMG_5089_frame840.jpg,path clear,,,
IMG_5089,855,IMG_5089_frame855.jpg,path clear,,,
IMG_5089,870,IMG_5089_frame870.jpg,path clear,,,
IMG_5089,885,IMG_5089_frame885.jpg,path clear,,,
IMG_5089,900,IMG_5089_frame900.jpg,path clear,,,
IMG_5089,915,IMG_5089_frame915.jpg,path clear,,,
IMG_5089,930,IMG_5089_frame930.jpg,path clear,,,
IMG_5089,945,IMG_5089_frame945.jpg,path clear,,,
IMG_5089,960,IMG_5089_frame960.jpg,path clear,,,
IMG_5089,975,IMG_5089_frame975.jpg,path clear,,,
IMG_5089,990,IMG_5089_frame990.jpg,path clear,,,
IMG_5089,1005,IMG_5089_frame1005.jpg,path clear,,,
IMG_5089,1020,IMG_5089_frame1020.jpg,path clear,,,
IMG_5089,1035,IMG_5089_frame1035.jpg,path clear,,,
IMG_5089,1050,IMG_5089_frame1050.jpg,path clear,,,
IMG_5089,1065,IMG_5089_frame1065.jpg,path clear,,,
IMG_5089,1080,IMG_5089_frame1080.jpg,path clear,,,
IMG_5089,1095,IMG_5089_frame1095.jpg,path clear,,,
IMG_5089,1110,IMG_5089_frame1110.jpg,path clear,,,
IMG_5089,1125,IMG_5089_frame1125.jpg,path clear,,,
